0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/img/portfolio/thumbnails/5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/img/portfolio/thumbnails/1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/images/2.jpg HTTP/1.1" 200 372926
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/images/3.jpg HTTP/1.1" 200 594021
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:15 +0530] "GET /BookStore/js/creative.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:34 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 12284
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:34 +0530] "GET /BookStore/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:34 +0530] "GET /BookStore/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:34 +0530] "GET /BookStore/img/portfolio/thumbnails/1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:34 +0530] "GET /BookStore/css/creative.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/jquery/jquery.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/js/creative.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/img/portfolio/thumbnails/4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/img/portfolio/thumbnails/6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/img/portfolio/thumbnails/5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:51:35 +0530] "GET /BookStore/js/creative.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:55:26 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:55:26 +0530] "GET /BookStore/images/1.jpg HTTP/1.1" 200 282829
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:55:57 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:55:57 +0530] "GET /BookStore/images/4.jpg HTTP/1.1" 200 806599
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:56:14 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:56:14 +0530] "GET /BookStore/images/5.jpg HTTP/1.1" 200 336479
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:58:05 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:58:19 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:59:37 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 3811
0:0:0:0:0:0:0:1 - - [04/Dec/2019:19:48:14 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:19:51:46 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:09:49 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4657
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:10:39 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4308
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:11:49 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4681
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:14:25 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4308
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:31:15 +0530] "GET /BookStore/Registration.jsp HTTP/1.1" 500 2709
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:31:53 +0530] "GET /BookStore/Registration.jsp HTTP/1.1" 500 2709
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:32:30 +0530] "GET /BookStore/Registration.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:33:08 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4308
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:36:15 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4304
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:02 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4172
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:39:31 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 6827
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:41:17 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 4304
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:51:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:51:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
